Samples	Day_length	Temperature	Secchi	Salinity	Chla_total	Chla_3um	PO4	NH4	NO2	NO3	Si	BP_FC1.55	PNF_Micro	PNF2_5um_Micro	PNF_5um_Micro	Cryptomonas	Micromonas	HNF_Micro	HNF2_5um_Micro	HNF_5um_Micro	LNA	HNA	Prochlorococcus_FC	Peuk1	Peuk2	year	month	day	season	Bacteria_joint	Synechococcus
BL140310	11.62350701	13.76	15	37.92	0.6	0.24	0.085	0.199	0.128	0.425	0.768	2.28	7173	6798	0	376	4310	704	657	47	386000	331000	10941	3370	1059	2014	3	10	spring	717000	28291
BL140407	12.9298971	14.12	15.5	37.89	0.3	0.16	0.097	0.906	0.199	0.775	1.303	3.51	3628	3480	56	93	2332	529	529	0	564000	327000	9098	2202	739	2014	4	7	spring	891000	44153
BL140505	14.13538227	16.22	16	37.85	0.29	0.15	0.046	0.156	0.239	0.104	0.986	3.37	1904	1862	0	41	62	1337	1337	0	477000	275000	3669	1349	1544	2014	5	5	spring	751000	24468
BL140602	14.99582855	17.53	15	37.81	0.26	0.12	0.058	1.556	0.08	0.095	0.935	1.37	2633	2552	20	61	81	1673	1673	0	475000	342000	1687	1467	1565	2014	6	2	summer	817000	31462
BL140707	15.08620564	21.99	14	37.89	0.29	0.09	0.099	0.838	0.027	7.286	0.915	1.59	2064	1942	70	52	52	1837	1793	44	525000	279000	1230	1119	1185	2014	7	7	summer	805000	45477
BL140804	14.33191829	24.77	18	37.91	0.36	0.14	0.092	0.114	0.021	0.148	0.904	4.92	1664	1370	114	179	65	1674	1674	0	588000	340000	2349	847	1268	2014	8	4	autumn	929000	52784
BL140916	12.50182572	23	20	NA	0.17	0.12	0.082	0.3	0.014	0.114	0.881	4.73	1993	1856	0	34	170	1417	1417	0	573000	270000	7589	652	732	2014	9	16	autumn	843000	28138
BL141007	11.5325262	21.3	12	NA	0.3	0.18	0.081	0.172	0.027	0.205	0.87	4.48	2196	2015	91	73	599	1069	1069	0	NA	NA	NA	NA	NA	2014	10	7	autumn	1080000	63307
BL141111	10.02970408	18.94	15	38.17	0.2	0.12	0.045	0.067	0.029	0.189	0.814	1.44	1518	1395	18	106	106	1031	1031	0	528000	286000	9032	307	599	2014	11	11	winter	814000	23399
BL141216	9.171535126	15.88	11	37.78	0.44	0.18	0.074	0.028	0.315	0.811	1.233	7.6	3804	3306	309	120	2309	576	576	0	303000	263000	4467	1875	470	2014	12	16	winter	566000	5056
BL150113	9.416821946	14.47	13	37.82	0.6	0.28	0.119	2.624	0.288	3.001	1.742	0.37	8096	7970	0	54	6927	395	395	0	368000	397000	8155	6892	566	2015	1	13	winter	765000	7581
BL150210	10.36909419	13.05	13.5	38.09	0.7	0.25	0.085	2.013	0.345	1.603	1.395	0.3	9798	9685	23	91	7081	568	550	18	405000	466000	4108	6397	380	2015	2	10	winter	871000	5227
BL150310	11.62350701	13.27	16.5	38.11	0.61	0.31	0.058	0.396	0.23	1.447	1.628	0.2	27769	27683	64	21	25246	396	377	19	415000	321000	4114	14575	538	2015	3	10	spring	736000	5291
BL150415	NA	14.38	16	37.95	0.33	0.22	0.035	0.497	0.166	0.849	1.805	0.18	8561	8461	0	100	6311	1849	1849	0	846000	403000	4363	7261	586	2015	4	15	spring	1250000	22090
BL150512	NA	17.71	16	37.79	0.37	0.12	0.048	0.772	0.057	0.208	0.354	0.37	2790	2261	481	48	241	1395	1395	0	365000	362000	1060	1626	971	2015	5	12	spring	727000	19837
BL150609	NA	18.97	18	37.7	0.33	0.13	0.037	0.205	0.053	0.232	0.672	0.26	2208	1965	142	101	41	2284	2284	0	424000	362000	823	1043	1022	2015	6	9	summer	786000	37039
BL150707	NA	18.9	15	37.87	0.51	0.06	0.084	1.266	0.157	0.396	1.036	0.21	4001	3697	253	51	1165	2127	2076	51	485000	534000	1094	4691	1330	2015	7	7	summer	1020000	25875
BL150804	NA	25.48	18	38.02	0.23	0.12	0.051	0.291	0.023	0.209	0.77	0.36	3452	3032	233	187	280	1353	1306	47	398000	279000	790	832	971	2015	8	4	summer	677000	45294
BL150916	NA	21.3	11.5	38.09	0.31	0.17	0.052	0.147	0.049	0.656	1.846	0.43	2536	2264	136	136	453	1177	1132	45	504000	392000	15230	1571	633	2015	9	16	autumn	896000	54490
BL151006	NA	19.47	11	38.08	0.35	0.23	0.056	0.365	0.046	0.344	1.24	0.37	1924	1879	0	46	92	1833	1833	0	519000	254000	16788	2719	422	2015	10	6	autumn	773000	31866
BL151110	NA	17.64	16	38.2	0.62	0.27	0.053	0.375	0.063	0.24	0.994	0.4	2284	2130	77	77	539	1206	1206	0	601000	378000	15281	2538	642	2015	11	10	winter	980000	36076
BL151215	NA	15.38	18	38.27	0.6	0.37	0.058	0.352	0.175	0.893	1.756	0.38	4980	4928	26	26	3884	626	626	0	497000	267000	9382	9095	705	2015	12	15	winter	763000	12494
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
